,threshold,weighted_mean_probability,auc,accuracy,Grand lac,Haut lac,Petit lac,split
0,1.0,0.5267546457292575,0.6151315789473684,0.5612244897959183,0.5148357616259979,0.581933653791313,0.4984543257056973,dsq
1,2.0,0.3714719712878398,0.5727040816326531,0.7142857142857143,0.3580936930715396,0.4239298774029288,0.3481308353398389,dsq
2,3.0,0.2962562303022644,0.5377241805813235,0.7857142857142857,0.2815790797123994,0.3459094674732804,0.2776691334733488,dsq
3,4.0,0.2565424332961008,0.5679012345679013,0.826530612244898,0.2447320366473232,0.2953410554240304,0.2426136077932205,dsq
4,5.0,0.222055927272085,0.4943181818181817,0.8979591836734694,0.2099935600222293,0.2564494664376843,0.2124813465598196,dsq
5,6.0,0.1787316386399674,0.4160125588697017,0.9285714285714286,0.1710277020482785,0.2017243817482937,0.1717042010551357,dsq
6,7.0,0.1485302765271406,0.3602150537634409,0.9489795918367347,0.1415939625375439,0.1667863714581846,0.1443769609406958,dsq
7,8.0,0.1408751189450771,0.3602150537634409,0.9489795918367347,0.1346139378026558,0.158444017189744,0.1361574136051433,dsq
8,9.0,0.1184565894141146,0.3602150537634409,0.9489795918367347,0.1132425021268753,0.1320084571252872,0.115486858948637,dsq
9,10.0,0.1147973905832397,0.3602150537634409,0.9489795918367347,0.1098766744203555,0.127517575222946,0.1120562508907434,dsq
10,11.0,0.1037773645949189,0.3602150537634409,0.9489795918367347,0.099698222134834,0.1141242702723902,0.1016808445713885,dsq
11,12.0,0.0926959637357245,0.3602150537634409,0.9489795918367347,0.0893973980284816,0.100862237840908,0.0911790011326141,dsq
12,13.0,0.0814216398702877,0.4508771929824561,0.9693877551020408,0.0788298862682464,0.0876408394391206,0.0804050335608044,dsq
13,14.0,0.0814216398702877,0.4508771929824561,0.9693877551020408,0.0788298862682464,0.0876408394391206,0.0804050335608044,dsq
14,15.0,0.0814216398702877,0.4508771929824561,0.9693877551020408,0.0788298862682464,0.0876408394391206,0.0804050335608044,dsq
15,16.0,0.0699107043407643,0.4508771929824561,0.9693877551020408,0.0679774902547848,0.0750383187866187,0.0687180493533765,dsq
16,17.0,0.0661389966930056,0.4508771929824561,0.9693877551020408,0.0644012687072159,0.0707104009309209,0.0651004601604926,dsq
17,18.0,0.0547268593810953,0.5598958333333334,0.979591836734694,0.0535161884635103,0.057813935063397,0.0540902562978083,dsq
