sample_id,location,date,quantity,pcs/m,region
"('veveyse', '2015-11-27')",veveyse,2015-11-27,1,0.02,Haut lac
"('veveyse', '2015-12-01')",veveyse,2015-12-01,0,0.0,Haut lac
"('veveyse', '2015-12-07')",veveyse,2015-12-07,1,0.02,Haut lac
"('veveyse', '2015-12-14')",veveyse,2015-12-14,0,0.0,Haut lac
"('veveyse', '2016-01-08')",veveyse,2016-01-08,0,0.0,Haut lac
"('veveyse', '2016-01-15')",veveyse,2016-01-15,0,0.0,Haut lac
"('veveyse', '2016-01-21')",veveyse,2016-01-21,0,0.0,Haut lac
"('veveyse', '2016-02-09')",veveyse,2016-02-09,1,0.02,Haut lac
"('veveyse', '2016-03-11')",veveyse,2016-03-11,1,0.02,Haut lac
"('veveyse', '2016-04-02')",veveyse,2016-04-02,0,0.0,Haut lac
"('veveyse', '2016-04-12')",veveyse,2016-04-12,1,0.02,Haut lac
"('veveyse', '2016-04-19')",veveyse,2016-04-19,1,0.02,Haut lac
"('veveyse', '2016-06-17')",veveyse,2016-06-17,4,0.08,Haut lac
"('veveyse', '2016-11-14')",veveyse,2016-11-14,3,0.05,Haut lac
"('veveyse', '2016-11-28')",veveyse,2016-11-28,17,0.36,Haut lac
"('veveyse', '2016-12-05')",veveyse,2016-12-05,5,0.11,Haut lac
"('veveyse', '2017-01-05')",veveyse,2017-01-05,5,0.12,Haut lac
"('vidy', '2016-06-07')",vidy,2016-06-07,1,0.12,Grand lac
"('vidy-ruines', '2020-06-02')",vidy-ruines,2020-06-02,0,0.0,Grand lac
"('vidy-ruines', '2020-06-30')",vidy-ruines,2020-06-30,0,0.0,Grand lac
"('vidy-ruines', '2020-08-01')",vidy-ruines,2020-08-01,0,0.0,Grand lac
"('vidy-ruines', '2020-09-02')",vidy-ruines,2020-09-02,0,0.0,Grand lac
"('vidy-ruines', '2020-12-01')",vidy-ruines,2020-12-01,0,0.0,Grand lac
"('vidy-ruines', '2021-03-04')",vidy-ruines,2021-03-04,0,0.0,Grand lac
"('vidy-ruines', '2021-04-15')",vidy-ruines,2021-04-15,0,0.0,Grand lac
"('villa-barton', '2016-04-02')",villa-barton,2016-04-02,2,0.14,Petit lac
"('villa-barton', '2016-04-10')",villa-barton,2016-04-10,0,0.0,Petit lac
"('villa-barton', '2016-04-16')",villa-barton,2016-04-16,0,0.0,Petit lac
"('villa-barton', '2016-04-22')",villa-barton,2016-04-22,0,0.0,Petit lac
"('villa-barton', '2016-05-02')",villa-barton,2016-05-02,0,0.0,Petit lac
"('villa-barton', '2016-05-08')",villa-barton,2016-05-08,0,0.0,Petit lac
"('villa-barton', '2016-06-05')",villa-barton,2016-06-05,0,0.0,Petit lac
"('villa-barton', '2016-07-21')",villa-barton,2016-07-21,0,0.0,Petit lac
"('villa-barton', '2016-07-22')",villa-barton,2016-07-22,0,0.0,Petit lac
"('villa-barton', '2020-10-20')",villa-barton,2020-10-20,1,0.06,Petit lac
"('villa-barton', '2021-01-22')",villa-barton,2021-01-22,15,0.3,Petit lac
"('villa-barton', '2021-11-14')",villa-barton,2021-11-14,5,0.08,Petit lac
"('maladaire', '2021-06-02')",maladaire,2021-06-02,11,0.18,Haut lac
"('anthy', '04.05.2022')",Anthy,2022-05-04,0,0.0,Grand lac
"('anthy', '09.02.2022')",Anthy,2022-02-09,0,0.0,Grand lac
"('anthy', '20.07.2022')",Anthy,2022-07-20,0,0.0,Grand lac
"('anthy', '23.11.2022')",Anthy,2022-11-23,0,0.0,Grand lac
"('aubonne', '05.11.2022')",Aubonne,2022-11-05,0,0.0,Grand lac
"('aubonne', '06.02.2022')",Aubonne,2022-02-06,0,0.0,Grand lac
"('aubonne', '10.09.2022')",Aubonne,2022-09-10,0,0.0,Grand lac
"('aubonne', '14.05.2022')",Aubonne,2022-05-14,0,0.0,Grand lac
"('baby-plage', '02.09.2022')",Baby Plage,2022-09-02,0,0.0,Petit lac
"('baby-plage', '15.10.2022')",Baby Plage,2022-10-15,0,0.0,Petit lac
"('baby-plage', '23.04.2022')",Baby Plage,2022-04-23,0,0.0,Petit lac
"('crans', '06.09.2022')",Crans,2022-09-06,0,0.0,Petit lac
"('crans', '16.01.2022')",Crans,2022-01-16,0,0.0,Petit lac
"('crans', '18.05.2022')",Crans,2022-05-18,0,0.0,Petit lac
"('cully', '04.05.2022')",Cully,2022-05-04,0,0.0,Haut lac
"('cully', '07.08.2022')",Cully,2022-08-07,0,0.0,Haut lac
"('cully', '17.10.2022')",Cully,2022-10-17,0,0.0,Haut lac
"('cully', '26.01.2022')",Cully,2022-01-26,0,0.0,Haut lac
"('excenevex', '04.09.2022')",Excenevex,2022-09-04,0,0.0,Grand lac
"('excenevex', '13.02.2022')",Excenevex,2022-02-13,0,0.0,Grand lac
"('gland', '06.09.2022')",Gland,2022-09-06,0,0.0,Grand lac
"('gland', '10.12.2022')",Gland,2022-12-10,0,0.0,Grand lac
"('gland', '16.01.2022')",Gland,2022-01-16,0,0.0,Grand lac
"('gland', '18.05.2022')",Gland,2022-05-18,0,0.0,Grand lac
"('grangettes', '13.02.2022')",Grangettes,2022-02-13,0,0.0,Haut lac
"('grangettes', '18.07.2022')",Grangettes,2022-07-18,0,0.0,Haut lac
"('hermance', '10.01.2022')",Hermance,2022-01-10,0,0.0,Petit lac
"('hermance', '11/6/2022')",Hermance,2022-06-11,0,0.0,Petit lac
"('hermance', '5/14/2022')",Hermance,2022-05-14,0,0.0,Petit lac
"('hermance', '9/11/2022')",Hermance,2022-11-09,0,0.0,Petit lac
"('lugrin', '06.02.2022')",Lugrin,2022-02-06,0,0.0,Grand lac
"('lutry', '29.01.2022')",Lutry,2022-01-29,0,0.0,Grand lac
"('meillerie', '02.05.2022')",Meillerie,2022-05-02,0,0.0,Haut lac
"('meillerie', '08.11.2022')",Meillerie,2022-11-08,0,0.0,Haut lac
"('meillerie', '18.07.2022')",Meillerie,2022-07-18,0,0.0,Haut lac
"('meillerie', '24.01.2022')",Meillerie,2022-01-24,0,0.0,Haut lac
"('pichette', '11.05.2022')",Pichette,2022-05-11,0,0.0,Haut lac
"('pichette', '13.12.2022')",Pichette,2022-12-13,0,0.0,Haut lac
"('pichette', '14.09.2022')",Pichette,2022-09-14,0,0.0,Haut lac
"('port-choiseul', '03.09.2022')",Port Choiseul,2022-09-03,0,0.0,Petit lac
"('port-choiseul', '15.10.2022')",Port Choiseul,2022-10-15,0,0.0,Petit lac
"('preverenges', '12.02.2022')",Préverenges,2022-02-12,0,0.0,Grand lac
"('preverenges', '13.08.2022')",Préverenges,2022-08-13,0,0.0,Grand lac
"('rolle', '01.05.2022')",Rolle,2022-05-01,0,0.0,Grand lac
"('rolle', '06.11.2022')",Rolle,2022-11-06,0,0.0,Grand lac
"('rolle', '15.01.2022')",Rolle,2022-01-15,0,0.0,Grand lac
"('savonniere', '06.08.2022')",Savonnière,2022-08-06,0,0.0,Petit lac
"('savonniere', '06.11.2022')",Savonnière,2022-11-06,0,0.0,Petit lac
"('tolochenaz', '01.05.2022')",Tolochenaz,2022-05-01,0,0.0,Grand lac
"('tolochenaz', '07.02.2022')",Tolochenaz,2022-02-07,0,0.0,Grand lac
"('tolochenaz', '12.11.2022')",Tolochenaz,2022-11-12,0,0.0,Grand lac
"('tolochenaz', '21.08.2022')",Tolochenaz,2022-08-21,0,0.0,Grand lac
"('tougues', '07.05.2022')",Tougues,2022-05-07,0,0.0,Petit lac
